iter	Passed	Remaining
0	145	144947
1	146	73300
2	149	49535
3	151	37651
4	153	30531
5	156	25956
6	159	22587
7	161	20008
8	164	18058
9	166	16443
10	168	15123
11	171	14154
12	173	13172
13	174	12286
14	176	11579
15	178	10964
16	180	10413
17	181	9914
18	184	9502
19	186	9141
20	187	8753
21	190	8474
22	191	8139
23	193	7887
24	195	7621
25	198	7420
26	199	7185
27	200	6966
28	202	6792
29	205	6630
30	207	6470
31	208	6305
32	209	6150
33	211	6000
34	212	5869
35	213	5720
36	214	5584
37	215	5459
38	216	5347
39	218	5244
40	219	5141
41	220	5031
42	222	4950
43	223	4863
44	225	4791
45	227	4711
46	228	4631
47	229	4553
48	230	4469
49	230	4384
50	232	4319
51	233	4259
52	234	4194
53	235	4129
54	236	4069
55	237	4010
56	238	3953
57	240	3903
58	241	3851
59	242	3799
60	243	3748
61	244	3696
62	245	3647
63	246	3603
64	247	3560
65	248	3518
66	249	3475
67	250	3437
68	251	3397
69	252	3358
70	253	3319
71	254	3284
72	255	3248
73	256	3211
74	257	3174
75	258	3139
76	258	3103
77	259	3068
78	260	3036
79	261	3002
80	261	2970
81	262	2940
82	263	2906
83	263	2875
84	264	2846
85	265	2817
86	265	2789
87	266	2761
88	267	2734
89	267	2707
90	268	2681
91	269	2656
92	269	2632
93	270	2607
94	271	2583
95	271	2559
96	272	2536
97	272	2512
98	273	2489
99	274	2467
100	274	2445
101	275	2423
102	275	2402
103	276	2383
104	277	2364
105	277	2344
106	278	2324
107	279	2305
108	279	2286
109	280	2268
110	280	2250
111	281	2231
112	282	2214
113	282	2196
114	283	2179
115	283	2163
116	284	2146
117	284	2129
118	285	2113
119	286	2097
120	286	2081
121	287	2065
122	287	2050
123	288	2035
124	288	2020
125	289	2005
126	289	1990
127	290	1976
128	290	1962
129	291	1948
130	291	1935
131	292	1922
132	292	1909
133	293	1896
134	293	1883
135	294	1870
136	294	1857
137	295	1845
138	296	1833
139	296	1821
140	297	1809
141	297	1796
142	297	1785
143	298	1774
144	299	1763
145	299	1753
146	300	1743
147	300	1732
148	301	1721
149	301	1711
150	302	1700
151	303	1690
152	303	1680
153	304	1670
154	304	1661
155	305	1651
156	305	1641
157	306	1632
158	306	1623
159	307	1614
160	307	1604
161	308	1595
